timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753342568645,847,HTTP Request,200,OK,product_browse 2-86,text,true,,2157,128,122,175,https://dummyjson.com/products/3,847,0,621
1753342568629,868,HTTP Request,200,OK,product_browse 2-81,text,true,,2157,128,121,174,https://dummyjson.com/products/3,868,0,653
1753342568642,857,HTTP Request,200,OK,product_browse 2-83,text,true,,2157,128,120,173,https://dummyjson.com/products/3,857,0,630
1753342568628,871,HTTP Request,200,OK,product_browse 2-80,text,true,,2157,128,120,173,https://dummyjson.com/products/3,871,0,659
1753342568637,863,HTTP Request,200,OK,product_browse 2-82,text,true,,2157,128,118,171,https://dummyjson.com/products/3,863,0,639
1753342568651,862,HTTP Request,200,OK,product_browse 2-85,text,true,,2157,128,117,170,https://dummyjson.com/products/3,861,0,649
1753342568740,946,HTTP Request,200,OK,product_browse 2-105,text,true,,2157,128,116,157,https://dummyjson.com/products/3,946,0,697
1753342568779,920,HTTP Request,200,OK,product_browse 2-113,text,true,,2157,128,115,155,https://dummyjson.com/products/3,920,0,696
1753342568804,896,HTTP Request,200,OK,product_browse 2-118,text,true,,2157,128,114,154,https://dummyjson.com/products/3,896,0,725
1753342568759,943,HTTP Request,200,OK,product_browse 2-109,text,true,,2157,128,114,154,https://dummyjson.com/products/3,943,0,711
1753342568779,925,HTTP Request,200,OK,product_browse 2-112,text,true,,2157,128,113,153,https://dummyjson.com/products/3,925,0,696
1753342568845,894,HTTP Request,200,OK,product_browse 2-126,text,true,,2157,128,111,149,https://dummyjson.com/products/3,893,0,710
1753342568851,890,HTTP Request,200,OK,product_browse 2-127,text,true,,2157,128,110,148,https://dummyjson.com/products/3,890,0,708
1753342568826,926,HTTP Request,200,OK,product_browse 2-122,text,true,,2157,128,109,147,https://dummyjson.com/products/3,926,0,729
1753342568755,929,HTTP Request,200,OK,product_browse 2-108,text,true,,2157,128,116,157,https://dummyjson.com/products/3,929,0,695
1753342568815,954,HTTP Request,200,OK,product_browse 2-120,text,true,,2157,128,107,140,https://dummyjson.com/products/3,954,0,720
1753342568865,905,HTTP Request,200,OK,product_browse 2-130,text,true,,2157,128,106,139,https://dummyjson.com/products/3,905,0,710
1753342568870,906,HTTP Request,200,OK,product_browse 2-131,text,true,,2157,128,105,136,https://dummyjson.com/products/3,906,0,724
1753342568794,983,HTTP Request,200,OK,product_browse 2-116,text,true,,2157,128,105,136,https://dummyjson.com/products/3,983,0,740
1753342568925,854,HTTP Request,200,OK,product_browse 2-142,text,true,,2157,128,103,134,https://dummyjson.com/products/3,854,0,691
1753342568820,959,HTTP Request,200,OK,product_browse 2-121,text,true,,2157,128,103,134,https://dummyjson.com/products/3,959,0,717
1753342568829,855,HTTP Request,200,OK,product_browse 2-123,text,true,,2157,128,116,157,https://dummyjson.com/products/3,855,0,700
1753342568791,892,HTTP Request,200,OK,product_browse 2-115,text,true,,2157,128,116,157,https://dummyjson.com/products/3,892,0,715
1753342568885,896,HTTP Request,200,OK,product_browse 2-134,text,true,,2157,128,100,131,https://dummyjson.com/products/3,896,0,728
1753342568808,875,HTTP Request,200,OK,product_browse 2-119,text,true,,2157,128,116,157,https://dummyjson.com/products/3,874,0,697
1753342568906,876,HTTP Request,200,OK,product_browse 2-138,text,true,,2157,128,99,130,https://dummyjson.com/products/3,876,0,707
1753342568773,909,HTTP Request,200,OK,product_browse 2-111,text,true,,2157,128,116,157,https://dummyjson.com/products/3,909,0,709
1753342568944,839,HTTP Request,200,OK,product_browse 2-146,text,true,,2157,128,96,127,https://dummyjson.com/products/3,839,0,692
1753342568786,895,HTTP Request,200,OK,product_browse 2-114,text,true,,2157,128,116,157,https://dummyjson.com/products/3,895,0,698
1753342568750,911,HTTP Request,200,OK,product_browse 2-107,text,true,,2157,128,116,157,https://dummyjson.com/products/3,910,0,709
1753342568764,893,HTTP Request,200,OK,product_browse 2-110,text,true,,2157,128,116,158,https://dummyjson.com/products/3,893,0,691
1753342568914,878,HTTP Request,200,OK,product_browse 2-139,text,true,,2157,128,91,121,https://dummyjson.com/products/3,878,0,723
1753342568965,830,HTTP Request,200,OK,product_browse 2-150,text,true,,2157,128,90,120,https://dummyjson.com/products/3,830,0,675
1753342568896,906,HTTP Request,200,OK,product_browse 2-135,text,true,,2157,128,89,119,https://dummyjson.com/products/3,906,0,723
1753342568970,834,HTTP Request,200,OK,product_browse 2-151,text,true,,2157,128,88,118,https://dummyjson.com/products/3,834,0,686
1753342568861,948,HTTP Request,200,OK,product_browse 2-129,text,true,,2157,128,87,115,https://dummyjson.com/products/3,948,0,711
1753342568836,976,HTTP Request,200,OK,product_browse 2-124,text,true,,2157,128,86,114,https://dummyjson.com/products/3,976,0,733
